"filename", "language", "JSON", "TypeScript", "HTML", "CSS", "Markdown", "JavaScript", "JSON with Comments", "XML", "Docker", "Properties", "SCSS", "comment", "blank", "total"
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\frontend\angular\angular\.angular\cache\15.0.0\babel-webpack\412f7065f42d4c4a52c20d22735c15d9d4c71fd64dacea7b8b7f33885561e014.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\frontend\angular\angular\.angular\cache\15.0.0\babel-webpack\41b05e8a7a44f0285a993ef72cfa0bac3feeb2422377240eb4cb01c4f5aca53b.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\frontend\angular\angular\.angular\cache\15.0.0\babel-webpack\4206b096d77819f470a270f79d1d7db1d2e32a7d227ee33e6b85c86279d0862b.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\frontend\angular\angular\.angular\cache\15.0.0\babel-webpack\42c639227105fecece3c4e7dcf9a795de9395abc2ae595fd24b9c10ca5306cd6.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\frontend\angular\angular\.angular\cache\15.0.0\babel-webpack\43338a9f587488e927c173bb888cac1d6ac00078d3f973f52fcf79de6ad73e24.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\frontend\angular\angular\.angular\cache\15.0.0\babel-webpack\4566103c03448d614c6868bc98aceae09077bca29ebf01ab9332d15942dad497.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\frontend\angular\angular\.angular\cache\15.0.0\babel-webpack\469de9efb0793486eee9c24cd399b9a68a11d02d8ceecd89b4f1d8da8b567c87.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\frontend\angular\angular\.angular\cache\15.0.0\babel-webpack\46a59107baa303e1d33b338ed68c8915fd28664cc6978a279707c8993a7bb07c.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\frontend\angular\angular\.angular\cache\15.0.0\babel-webpack\46e48e1177d42c89b53e6d0954f6a68c9e91766902e4c0d607cda955ecf997cb.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\frontend\angular\angular\.angular\cache\15.0.0\babel-webpack\498ab74967f0d09890815cee132b0767143932160679eb425046fbab45c8d227.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\frontend\angular\angular\.angular\cache\15.0.0\babel-webpack\4ba4f2f5616875ff574d58802993956639a18b9810f5d270660be0d018c917b8.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\frontend\angular\angular\.angular\cache\15.0.0\babel-webpack\4cc28db80d3bdf5c60fd6b0e8b814a9b9d9e3866a35f6c17ed347d60bca848ab.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
